week,steamid,owner_base,average_price,pre_average_price,action,adventure,casual,puzzle,RPG,sports,simulation,strategy,new_followers,peak_concurrent,sharing_percentage,average_playtime,covid_confirmed,owners_change
15,646910,1002000,59.99,59.99,1,1,0,0,0,1,1,0,531,2915,19.07,586,12155629,32000
16,646910,1034000,58.56,59.99,1,1,0,0,0,1,1,0,379,2319,24,229,16185863,46000
1,1145360,208000,23.56,19.99,1,0,0,0,1,0,0,0,4567,5805,65.1,480,0,18000
2,1145360,226000,24.99,23.56,1,0,0,0,1,0,0,0,2723,3756,55.44,515,0,22000
3,1145360,248000,24.99,24.99,1,0,0,0,1,0,0,0,1658,2984,28.93,631,0,13000
4,1145360,261000,20.7,24.99,1,0,0,0,1,0,0,0,6695,6800,38.27,665,14207,28000
5,1145360,289000,24.99,20.7,1,0,0,0,1,0,0,0,2469,4761,46.05,496,96925,19000
6,1145360,308000,24.99,24.99,1,0,0,0,1,0,0,0,2215,3361,34.76,556,257654,42000
7,1145360,350000,24.99,24.99,1,0,0,0,1,0,0,0,1809,2582,35.26,696,461122,17000
8,1145360,367000,24.99,24.99,1,0,0,0,1,0,0,0,1481,2147,17.02,357,546152,16000
9,1145360,383000,24.99,24.99,1,0,0,0,1,0,0,0,1082,1728,20.41,171,605772,15000
10,1145360,398000,24.99,24.99,1,0,0,0,1,0,0,0,1305,2282,11.22,468,742685,64000
11,1145360,462000,24.99,24.99,1,0,0,0,1,0,0,0,1203,3969,33.18,272,1101744,-37000
12,1145360,425000,24.99,24.99,1,0,0,0,1,0,0,0,965,2263,34.2,261,2167643,13000
13,1145360,438000,24.99,24.99,1,0,0,0,1,0,0,0,665,1646,18.36,268,4612054,16000
14,1145360,454000,24.99,24.99,1,0,0,0,1,0,0,0,643,1431,21.6,298,8185633,11000
15,1145360,465000,24.99,24.99,1,0,0,0,1,0,0,0,532,1174,15.22,218,12155629,-107000
16,1145360,358000,24.99,24.99,1,0,0,0,1,0,0,0,451,1109,7.46,140,16185863,118000
1,414700,846000,23.56,7.49,1,1,0,0,0,0,0,0,46,239,1.44,5470,0,-429000
2,414700,417000,29.99,23.56,1,1,0,0,0,0,0,0,52,145,3.37,215,0,395000
3,414700,812000,29.99,29.99,1,1,0,0,0,0,0,0,41,132,2.35,147,0,-20000
4,414700,792000,20.35,29.99,1,1,0,0,0,0,0,0,75,187,1.64,58,14207,-33000
5,414700,759000,29.99,20.35,1,1,0,0,0,0,0,0,49,171,3.11,119,96925,-9000
6,414700,750000,29.99,29.99,1,1,0,0,0,0,0,0,47,130,4.19,415,257654,-364000
7,414700,386000,29.99,29.99,1,1,0,0,0,0,0,0,64,122,0.65,127,461122,371000
8,414700,757000,29.99,29.99,1,1,0,0,0,0,0,0,51,118,2.11,173,546152,12000
9,414700,769000,23.56,29.99,1,1,0,0,0,0,0,0,483,251,3.7,30,605772,36000
10,414700,805000,29.99,23.56,1,1,0,0,0,0,0,0,87,174,2.06,18,742685,-6000
11,414700,799000,29.99,29.99,1,1,0,0,0,0,0,0,53,152,2.52,313,1101744,12000
12,414700,811000,29.99,29.99,1,1,0,0,0,0,0,0,24,149,0.75,21,2167643,11000
13,414700,822000,20.35,29.99,1,1,0,0,0,0,0,0,335,277,3.31,83,4612054,25000
14,414700,847000,29.99,20.35,1,1,0,0,0,0,0,0,54,194,2.39,134,8185633,2000
15,414700,849000,29.99,29.99,1,1,0,0,0,0,0,0,52,164,1.57,153,12155629,7000
16,414700,856000,29.99,29.99,1,1,0,0,0,0,0,0,52,156,2.75,64,16185863,8000
1,617290,900000,36.56,27.99,1,1,0,0,1,0,0,0,956,2182,8.33,337,0,29000
2,617290,929000,39.99,36.56,1,1,0,0,1,0,0,0,533,1256,5.69,820,0,7000
3,617290,936000,39.99,39.99,1,1,0,0,1,0,0,0,449,952,6.19,693,0,-9000
4,617290,927000,33.13,39.99,1,1,0,0,1,0,0,0,795,1288,2.97,255,14207,-18000
5,617290,909000,39.99,33.13,1,1,0,0,1,0,0,0,660,1283,3.94,361,96925,7000
6,617290,916000,39.99,39.99,1,1,0,0,1,0,0,0,719,1039,4.01,1993,257654,41000
7,617290,957000,39.99,39.99,1,1,0,0,1,0,0,0,674,893,4.07,187,461122,27000
8,617290,984000,39.99,39.99,1,1,0,0,1,0,0,0,523,802,4.77,452,546152,15000
9,617290,999000,31.42,39.99,1,1,0,0,1,0,0,0,886,921,5.61,113,605772,43000
10,617290,1042000,36.56,31.42,1,1,0,0,1,0,0,0,726,1107,1.59,117,742685,15000
11,617290,1057000,39.99,36.56,1,1,0,0,1,0,0,0,343,801,6.78,220,1101744,17000
12,617290,1074000,39.99,39.99,1,1,0,0,1,0,0,0,268,806,3.4,408,2167643,25000
13,617290,1099000,39.99,39.99,1,1,0,0,1,0,0,0,274,741,2.74,162,4612054,9000
14,617290,1108000,39.99,39.99,1,1,0,0,1,0,0,0,225,701,4.41,666,8185633,11000
15,617290,1119000,39.99,39.99,1,1,0,0,1,0,0,0,301,710,0,590,12155629,16000
16,617290,1135000,39.99,39.99,1,1,0,0,1,0,0,0,412,1085,3.7,362,16185863,39000
1,40950,1694000,4.7,1.49,0,0,0,0,0,0,1,1,-1,355,1.3,248,0,-632000
2,40950,1062000,5.99,4.7,0,0,0,0,0,0,1,1,11,304,0,277,0,4000
3,40950,1066000,5.99,5.99,0,0,0,0,0,0,1,1,8,288,1.79,245,0,-48000
4,40950,1018000,2.78,5.99,0,0,0,0,0,0,1,1,8,294,0,8,14207,491000
5,40950,1509000,2.13,2.78,0,0,0,0,0,0,1,1,46,354,1.91,32,96925,5000
6,40950,1514000,5.99,2.13,0,0,0,0,0,0,1,1,5,326,0,7,257654,-562000
7,40950,952000,5.99,5.99,0,0,0,0,0,0,1,1,16,301,1.19,132,461122,6000
8,40950,958000,5.99,5.99,0,0,0,0,0,0,1,1,13,300,0,235,546152,562000
9,40950,1520000,5.99,5.99,0,0,0,0,0,0,1,1,4,281,0,235,605772,0
10,40950,1520000,5.99,5.99,0,0,0,0,0,0,1,1,5,292,0,235,742685,-552000
11,40950,968000,5.99,5.99,0,0,0,0,0,0,1,1,9,364,3.48,109,1101744,-7000
12,40950,961000,5.99,5.99,0,0,0,0,0,0,1,1,8,468,0,20,2167643,-2000
13,40950,959000,5.35,5.99,0,0,0,0,0,0,1,1,15,559,0.89,38,4612054,601000
14,40950,1560000,2.13,5.35,0,0,0,0,0,0,1,1,38,639,1.59,260,8185633,20000
15,40950,1580000,5.99,2.13,0,0,0,0,0,0,1,1,10,587,0.79,176,12155629,-605000
16,40950,975000,5.99,5.99,0,0,0,0,0,0,1,1,16,494,2.29,228,16185863,10000
1,393380,1008000,37.7,31.99,1,0,0,0,1,0,1,1,0,4469,8.99,2187,0,33000
2,393380,1041000,39.99,37.7,1,0,0,0,1,0,1,1,0,4122,10.9,384,0,65000
3,393380,1106000,39.99,39.99,1,0,0,0,1,0,1,1,0,3644,11.37,667,0,-38000
4,393380,1068000,39.99,39.99,1,0,0,0,1,0,1,1,0,4061,8.63,638,14207,-91000
5,393380,977000,39.99,39.99,1,0,0,0,1,0,1,1,0,4017,9.63,378,96925,25000
6,393380,1002000,39.99,39.99,1,0,0,0,1,0,1,1,0,3868,11.78,262,257654,100000
7,393380,1102000,39.99,39.99,1,0,0,0,1,0,1,1,0,3835,5.74,292,461122,0
8,393380,1102000,39.99,39.99,1,0,0,0,1,0,1,1,0,3903,4.82,308,546152,5000
9,393380,1107000,39.99,39.99,1,0,0,0,1,0,1,1,0,3538,5.48,217,605772,3000
10,393380,1110000,39.99,39.99,1,0,0,0,1,0,1,1,0,3601,5.49,887,742685,-541000
11,393380,569000,39.99,39.99,1,0,0,0,1,0,1,1,0,3831,4.61,164,1101744,572000
12,393380,1141000,39.99,39.99,1,0,0,0,1,0,1,1,0,4095,8.43,405,2167643,11000
13,393380,1152000,39.99,39.99,1,0,0,0,1,0,1,1,0,3858,5.26,339,4612054,-10000
14,393380,1142000,39.99,39.99,1,0,0,0,1,0,1,1,0,3752,4.69,627,8185633,7000
15,393380,1149000,39.99,39.99,1,0,0,0,1,0,1,1,0,3936,5.86,215,12155629,19000
16,393380,1168000,39.99,39.99,1,0,0,0,1,0,1,1,0,3979,6.92,196,16185863,-2000
1,645630,733000,16.28,6.99,0,0,0,0,0,0,1,1,293,2575,3.51,224,0,36000
2,645630,769000,10.56,16.28,0,0,0,0,0,0,1,1,391,2387,13.4,1088,0,15000
3,645630,784000,8.99,10.56,0,0,0,0,0,0,1,1,292,2726,5.9,1229,0,-83000
4,645630,701000,13.7,8.99,0,0,0,0,0,0,1,1,486,2584,10.58,631,14207,35000
5,645630,736000,19.99,13.7,0,0,0,0,0,0,1,1,355,2151,13.17,514,96925,32000
6,645630,768000,19.99,19.99,0,0,0,0,0,0,1,1,289,1946,14.82,23,257654,30000
7,645630,798000,19.99,19.99,0,0,0,0,0,0,1,1,267,1885,7.41,877,461122,23000
8,645630,821000,19.99,19.99,0,0,0,0,0,0,1,1,469,1813,0.79,145,546152,17000
9,645630,838000,19.99,19.99,0,0,0,0,0,0,1,1,323,1766,5.15,44,605772,21000
10,645630,859000,13.7,19.99,0,0,0,0,0,0,1,1,430,2131,7.86,104,742685,-244000
11,645630,615000,8.99,13.7,0,0,0,0,0,0,1,1,515,2902,3.64,264,1101744,208000
12,645630,823000,15.28,8.99,0,0,0,0,0,0,1,1,405,3292,9.56,464,2167643,39000
13,645630,862000,19.99,15.28,0,0,0,0,0,0,1,1,500,3111,3.89,470,4612054,26000
14,645630,888000,19.99,19.99,0,0,0,0,0,0,1,1,376,2789,5.87,113,8185633,33000
15,645630,921000,19.99,19.99,0,0,0,0,0,0,1,1,374,2705,8.14,369,12155629,11000
16,645630,932000,19.99,19.99,0,0,0,0,0,0,1,1,370,2403,8.28,337,16185863,38000
1,629910,217000,28.53,19.79,1,1,1,0,1,0,1,1,-9,208,0,20101,0,6000
2,629910,223000,29.99,28.53,1,1,1,0,1,0,1,1,-2,159,28.57,6225,0,10000
3,629910,233000,22.7,29.99,1,1,1,0,1,0,1,1,-6,177,0,5,0,-117000
4,629910,116000,19.79,22.7,1,1,1,0,1,0,1,1,2,180,0,5,14207,98000
5,629910,214000,29.99,19.79,1,1,1,0,1,0,1,1,-5,147,0,5,96925,16000
6,629910,230000,26.42,29.99,1,1,1,0,1,0,1,1,-13,149,0,5,257654,117000
7,629910,347000,24.99,26.42,1,1,1,0,1,0,1,1,-4,153,0,5,461122,24000
8,629910,371000,24.99,24.99,1,1,1,0,1,0,1,1,5,144,0,5,546152,2000
9,629910,373000,24.99,24.99,1,1,1,0,1,0,1,1,1,129,0,5,605772,16000
10,629910,389000,24.99,24.99,1,1,1,0,1,0,1,1,-5,124,0,5,742685,-5000
11,629910,384000,21.42,24.99,1,1,1,0,1,0,1,1,-9,114,0,5,1101744,21000
12,629910,405000,19.99,21.42,1,1,1,0,1,0,1,1,2,128,14.29,281,2167643,-6000
13,629910,399000,19.99,19.99,1,1,1,0,1,0,1,1,-7,143,0,404,4612054,14000
14,629910,413000,19.99,19.99,1,1,1,0,1,0,1,1,-10,153,0,404,8185633,-49000
15,629910,364000,19.99,19.99,1,1,1,0,1,0,1,1,-20,264,0,404,12155629,8000
16,629910,372000,19.99,19.99,1,1,1,0,1,0,1,1,-2,219,0,404,16185863,25000
1,40970,2085000,7.7,1.99,1,1,0,0,0,0,1,1,-5,1164,1.79,77,0,-684000
2,40970,1401000,9.99,7.7,1,1,0,0,0,0,1,1,-8,976,1.43,127,0,11000
3,40970,1412000,9.99,9.99,1,1,0,0,0,0,1,1,-3,953,2.36,147,0,-63000
4,40970,1349000,4.28,9.99,1,1,0,0,0,0,1,1,-5,1019,2.09,96,14207,521000
5,40970,1870000,3.13,4.28,1,1,0,0,0,0,1,1,0,1116,2.73,576,96925,14000
6,40970,1884000,9.99,3.13,1,1,0,0,0,0,1,1,-4,1124,2.73,19,257654,-618000
7,40970,1266000,9.99,9.99,1,1,0,0,0,0,1,1,0,1055,1.5,25,461122,9000
8,40970,1275000,9.99,9.99,1,1,0,0,0,0,1,1,-1,1038,1.67,99,546152,619000
9,40970,1894000,9.99,9.99,1,1,0,0,0,0,1,1,-2,1008,0,317,605772,2000
10,40970,1896000,9.99,9.99,1,1,0,0,0,0,1,1,-4,1022,0.71,102,742685,-604000
11,40970,1292000,9.99,9.99,1,1,0,0,0,0,1,1,-6,1265,1.04,31,1101744,-18000
12,40970,1274000,9.99,9.99,1,1,0,0,0,0,1,1,1,1727,2.46,108,2167643,-9000
13,40970,1265000,8.85,9.99,1,1,0,0,0,0,1,1,-2,1875,2.46,47,4612054,688000
14,40970,1953000,3.13,8.85,1,1,0,0,0,0,1,1,9,2096,2.84,556,8185633,39000
15,40970,1992000,9.99,3.13,1,1,0,0,0,0,1,1,-1,2026,1.46,451,12155629,-680000
16,40970,1312000,9.99,9.99,1,1,0,0,0,0,1,1,0,1720,2.68,395,16185863,12000
1,445980,595000,14.96,8.79,1,1,0,0,1,0,0,0,0,445,3.42,42,0,6000
2,445980,601000,15.99,14.96,1,1,0,0,1,0,0,0,0,309,5.51,66,0,14000
3,445980,615000,11.42,15.99,1,1,0,0,1,0,0,0,0,796,2.74,98,0,-9000
4,445980,606000,11.42,11.42,1,1,0,0,1,0,0,0,0,742,6.8,72,14207,-33000
5,445980,573000,15.99,11.42,1,1,0,0,1,0,0,0,0,523,5.35,81,96925,2000
6,445980,575000,15.99,15.99,1,1,0,0,1,0,0,0,0,418,5.87,38,257654,5000
7,445980,580000,14.85,15.99,1,1,0,0,1,0,0,0,0,397,1.78,317,461122,18000
8,445980,598000,9.13,14.85,1,1,0,0,1,0,0,0,0,796,6.3,1979,546152,13000
9,445980,611000,15.99,9.13,1,1,0,0,1,0,0,0,0,494,8.45,188,605772,1000
10,445980,612000,15.99,15.99,1,1,0,0,1,0,0,0,0,365,4.4,144,742685,11000
11,445980,623000,15.99,15.99,1,1,0,0,1,0,0,0,0,309,4.54,137,1101744,8000
12,445980,631000,15.99,15.99,1,1,0,0,1,0,0,0,0,280,2.12,123,2167643,11000
13,445980,642000,15.99,15.99,1,1,0,0,1,0,0,0,0,247,0,62,4612054,9000
14,445980,651000,15.99,15.99,1,1,0,0,1,0,0,0,0,468,2.39,60,8185633,-3000
15,445980,648000,15.99,15.99,1,1,0,0,1,0,0,0,0,402,2.77,74,12155629,12000
16,445980,660000,15.99,15.99,1,1,0,0,1,0,0,0,0,293,5.77,99,16185863,10000
1,629520,330000,4.7,3.99,0,0,0,0,0,0,0,0,121,3531,29.47,1497,0,23000
2,629520,353000,4.99,4.7,0,0,0,0,0,0,0,0,89,3633,29.34,977,0,12000
3,629520,365000,4.99,4.99,0,0,0,0,0,0,0,0,111,3838,55.17,1014,0,6000
4,629520,371000,4.42,4.99,0,0,0,0,0,0,0,0,115,3733,29.55,1556,14207,-25000
5,629520,346000,4.99,4.42,0,0,0,0,0,0,0,0,100,3884,24.33,741,96925,-3000
6,629520,343000,4.99,4.99,0,0,0,0,0,0,0,0,111,4057,24.48,180,257654,26000
7,629520,369000,4.99,4.99,0,0,0,0,0,0,0,0,154,4048,43.08,1831,461122,4000
8,629520,373000,4.99,4.99,0,0,0,0,0,0,0,0,95,4197,36.74,1889,546152,-33000
9,629520,340000,4.99,4.99,0,0,0,0,0,0,0,0,121,4191,32.18,774,605772,19000
10,629520,359000,4.99,4.99,0,0,0,0,0,0,0,0,139,4342,25.99,1191,742685,12000
11,629520,371000,4.99,4.99,0,0,0,0,0,0,0,0,116,4634,43.89,1094,1101744,39000
12,629520,410000,4.99,4.99,0,0,0,0,0,0,0,0,169,5733,38.62,603,2167643,38000
13,629520,448000,4.99,4.99,0,0,0,0,0,0,0,0,161,6394,43.12,416,4612054,44000
14,629520,492000,4.99,4.99,0,0,0,0,0,0,0,0,183,6972,37.78,617,8185633,40000
15,629520,532000,4.99,4.99,0,0,0,0,0,0,0,0,194,7733,43.51,1244,12155629,35000
16,629520,567000,4.99,4.99,0,0,0,0,0,0,0,0,259,8077,49.64,1082,16185863,44000
1,690790,305000,47.99,17.99,0,0,0,0,0,1,1,0,537,1254,20.71,304,0,31000
2,690790,336000,59.99,47.99,0,0,0,0,0,1,1,0,248,1107,15.65,101,0,23000
3,690790,359000,59.99,59.99,0,0,0,0,0,1,1,0,271,1112,9.52,71,0,5000
4,690790,364000,29.99,59.99,0,0,0,0,0,1,1,0,448,1200,5.71,93,14207,1000
5,690790,365000,17.99,29.99,0,0,0,0,0,1,1,0,641,1513,13.88,159,96925,19000
6,690790,384000,23.99,17.99,0,0,0,0,0,1,1,0,595,1582,10.82,167,257654,22000
7,690790,406000,39.99,23.99,0,0,0,0,0,1,1,0,371,1465,5.48,19,461122,37000
8,690790,443000,39.99,39.99,0,0,0,0,0,1,1,0,304,1307,9.78,113,546152,46000
9,690790,489000,39.99,39.99,0,0,0,0,0,1,1,0,275,1138,3.02,630,605772,13000
10,690790,502000,39.99,39.99,0,0,0,0,0,1,1,0,292,1225,1.3,8,742685,7000
11,690790,509000,15.99,39.99,0,0,0,0,0,1,1,0,511,1503,5.32,81,1101744,12000
12,690790,521000,29.7,15.99,0,0,0,0,0,1,1,0,684,1975,5.83,135,2167643,10000
13,690790,531000,15.99,29.7,0,0,0,0,0,1,1,0,1993,2822,19.83,389,4612054,-131000
14,690790,400000,22.85,15.99,0,0,0,0,0,1,1,0,835,2521,6.84,129,8185633,173000
15,690790,573000,39.99,22.85,0,0,0,0,0,1,1,0,530,2498,7.34,440,12155629,3000
16,690790,576000,39.99,39.99,0,0,0,0,0,1,1,0,442,2311,9.89,415,16185863,17000
1,562270,123000,3.99,3.99,1,0,1,0,0,0,0,0,-1,2,0,106,0,-1000
2,562270,122000,3.99,3.99,1,0,1,0,0,0,0,0,1,2,0,106,0,-107000
3,562270,15000,3.99,3.99,1,0,1,0,0,0,0,0,0,2,0,106,0,102000
4,562270,117000,3.99,3.99,1,0,1,0,0,0,0,0,1,2,0,106,14207,-8000
5,562270,109000,3.99,3.99,1,0,1,0,0,0,0,0,0,2,0,106,96925,0
6,562270,109000,3.99,3.99,1,0,1,0,0,0,0,0,0,4,0,106,257654,200000
7,562270,309000,3.99,3.99,1,0,1,0,0,0,0,0,-1,3,0,106,461122,-4000
8,562270,305000,3.99,3.99,1,0,1,0,0,0,0,0,-1,3,0,106,546152,5000
9,562270,310000,3.99,3.99,1,0,1,0,0,0,0,0,0,3,0,106,605772,10000
10,562270,320000,3.99,3.99,1,0,1,0,0,0,0,0,0,1,0,106,742685,-9000
11,562270,311000,3.99,3.99,1,0,1,0,0,0,0,0,0,5,0,106,1101744,17000
12,562270,328000,3.99,3.99,1,0,1,0,0,0,0,0,1,5,0,106,2167643,-16000
13,562270,312000,3.99,3.99,1,0,1,0,0,0,0,0,1,3,0,106,4612054,-2000
14,562270,310000,3.99,3.99,1,0,1,0,0,0,0,0,0,2,1.19,105,8185633,11000
15,562270,321000,3.99,3.99,1,0,1,0,0,0,0,0,0,4,0,81,12155629,-2000
16,562270,319000,3.99,3.99,1,0,1,0,0,0,0,0,0,3,0,79,16185863,1000
1,994280,410000,27.16,20.09,1,1,0,0,1,0,0,0,343,1253,8.93,110,0,27000
2,994280,437000,29.99,27.16,1,1,0,0,1,0,0,0,309,935,8.33,72,0,15000
3,994280,452000,29.99,29.99,1,1,0,0,1,0,0,0,224,859,0,186,0,-11000
4,994280,441000,24.16,29.99,1,1,0,0,1,0,0,0,493,1480,4.16,201,14207,-56000
5,994280,385000,13.02,24.16,1,1,0,0,1,0,0,0,2234,6789,11.47,122,96925,-62000
6,994280,323000,15.85,13.02,1,1,0,0,1,0,0,0,2489,9317,20.98,251,257654,54000
7,994280,377000,15.85,15.85,1,1,0,0,1,0,0,0,1790,7761,20.22,293,461122,101000
8,994280,478000,29.99,15.85,1,1,0,0,1,0,0,0,382,4049,19.53,776,546152,175000
9,994280,653000,29.99,29.99,1,1,0,0,1,0,0,0,309,2641,7.45,567,605772,75000
10,994280,728000,29.99,29.99,1,1,0,0,1,0,0,0,467,2075,5.57,30,742685,21000
11,994280,749000,29.99,29.99,1,1,0,0,1,0,0,0,493,1541,2.88,214,1101744,-1000
12,994280,748000,29.99,29.99,1,1,0,0,1,0,0,0,495,1394,2.81,454,2167643,-18000
13,994280,730000,29.99,29.99,1,1,0,0,1,0,0,0,381,1132,1.43,649,4612054,-228000
14,994280,502000,22.7,29.99,1,1,0,0,1,0,0,0,595,1289,5.72,190,8185633,246000
15,994280,748000,19.79,22.7,1,1,0,0,1,0,0,0,532,1614,1.79,5,12155629,-15000
16,994280,733000,27.08,19.79,1,1,0,0,1,0,0,0,285,1277,12.82,80,16185863,-14000
1,377310,286000,0.85,0.63,1,0,0,0,0,0,0,0,0,1,0,1,0,-233000
2,377310,53000,0.99,0.85,1,0,0,0,0,0,0,0,0,1,0,1,0,235000
3,377310,288000,0.99,0.99,1,0,0,0,0,0,0,0,0,1,0,1,0,-15000
4,377310,273000,0.78,0.99,1,0,0,0,0,0,0,0,0,1,0,1,14207,-19000
5,377310,254000,0.99,0.78,1,0,0,0,0,0,0,0,-2,1,0,1,96925,4000
6,377310,258000,0.78,0.99,1,0,0,0,0,0,0,0,0,1,0,1,257654,-1000
7,377310,257000,0.49,0.78,1,0,0,0,0,0,0,0,-1,1,0,1,461122,1000
8,377310,258000,0.7,0.49,1,0,0,0,0,0,0,0,0,1,0,1,546152,-1000
9,377310,257000,0.99,0.7,1,0,0,0,0,0,0,0,0,1457,0,1,605772,187000
10,377310,444000,0.99,0.99,1,0,0,0,0,0,0,0,0,1,0,1,742685,30000
11,377310,474000,0.99,0.99,1,0,0,0,0,0,0,0,1,1,0,1,1101744,3000
12,377310,477000,0.99,0.99,1,0,0,0,0,0,0,0,0,2,0,1,2167643,-3000
13,377310,474000,0.99,0.99,1,0,0,0,0,0,0,0,0,2,0,1,4612054,-2000
14,377310,472000,0.99,0.99,1,0,0,0,0,0,0,0,0,2,0,1,8185633,-3000
15,377310,469000,0.99,0.99,1,0,0,0,0,0,0,0,0,1,0,1,12155629,-2000
16,377310,467000,0.99,0.99,1,0,0,0,0,0,0,0,0,2,0,1,16185863,-4000
1,477290,133000,0.99,0.99,0,0,0,0,0,0,0,0,0,2,0,426,0,303000
2,477290,436000,0.99,0.99,0,0,0,0,0,0,0,0,0,6,0,426,0,25000
3,477290,461000,0.99,0.99,0,0,0,0,0,0,0,0,0,5,0,426,0,-42000
4,477290,419000,0.99,0.99,0,0,0,0,0,0,0,0,0,2,0,426,14207,-35000
5,477290,384000,0.99,0.99,0,0,0,0,0,0,0,0,0,1,0,426,96925,6000
6,477290,390000,0.99,0.99,0,0,0,0,0,0,0,0,0,2,0,426,257654,5000
7,477290,395000,0.99,0.99,0,0,0,0,0,0,0,0,0,1,0,426,461122,1000
8,477290,396000,0.99,0.99,0,0,0,0,0,0,0,0,0,1,0,426,546152,2000
9,477290,398000,0.99,0.99,0,0,0,0,0,0,0,0,0,1,0,426,605772,0
10,477290,398000,0.99,0.99,0,0,0,0,0,0,0,0,1,1,0,426,742685,-313000
11,477290,85000,0.99,0.99,0,0,0,0,0,0,0,0,0,1,0,426,1101744,317000
12,477290,402000,0.99,0.99,0,0,0,0,0,0,0,0,0,1,0,426,2167643,2000
13,477290,404000,0.99,0.99,0,0,0,0,0,0,0,0,0,1,0,426,4612054,3000
14,477290,407000,0.99,0.99,0,0,0,0,0,0,0,0,0,2,0,426,8185633,2000
15,477290,409000,0.99,0.99,0,0,0,0,0,0,0,0,0,2,0,426,12155629,1000
16,477290,410000,0.99,0.99,0,0,0,0,0,0,0,0,0,1,0,426,16185863,4000
